type,title,abstract,date,startTime,endTime,room,
Lightning talk,Accelerate Apache Spark up to 5 times on AWS with RAPIDS (sponsored by NVIDIA),"Accelerating batch ETL workloads with GPUs offers significant cost savings, improved performance, and reduced power consumption. In this lightning talk, explore how to enhance Apache Spark using Amazon EC2 G6 GPU instances, demonstrating speedups of up to five times and cost reductions of 80% on Spark operations. Learn strategies for utilizing GPUs in Spark batch ETL workloads on Amazon EMR, and discover a tool designed to identify workloads best suited for GPU acceleration. Hear success stories from RAPIDS Accelerator for Apache Spark users. Also learn about customer adoption journeys, production deployments, and the substantial cost and performance benefits users experience. This presentation is brought to you by NVIDIA, an AWS Partner.",N/A,N/A,N/A,N/A,
Chalk talk,"AWS Amplify: Integrating data sources, authentication & AWS services","Expand the capabilities of your full stack applications with the latest updates to AWS Amplify. In this chalk talk, explore how Amplify can seamlessly integrate with a wide range of existing data sources, authentication providers, and AWS infrastructure. Connect your Amplify-powered applications to PostgreSQL or MySQL databases, leveraging Amplify’s data modeling and API generation capabilities. Discover how to authenticate users with any OpenID Connect (OIDC) or SAML provider. Use the AWS CDK to customize Amplify resources, such as Amazon S3 buckets and Amazon DynamoDB tables, and to add custom AWS resources to your project.",12/2/24,16:30,17:30,Caesars Forum | Level 1 | Forum 126,1
Chalk talk,Fine-tune and deploy Llama 3.1 models on AWS Trainium and Inferentia,"AWS Neuron SDK allows you to train, fine-tune, and deploy foundation models on AWS Trainium and AWS Inferentia when building generative AI applications. This chalk talk provides an overview of Neuron SDK and the various capabilities that maximize performance and deliver ease-of-use when training and deploying Llama 3.1 models on AWS AI chips. Dive deep into Neuron Distributed libraries and discover debugging, profiling, and observability tools that can help you optimize performance of your AI workloads on AWS AI chips.",12/2/24,10:30,11:30,Caesars Forum | Level 1 | Forum 126,1
Lightning talk,Accelerate business and mission outcomes with AWS Government Regions,"In this lightning talk, learn how AWS Government Regions—AWS GovCloud (US), AWS Secret Region, and AWS Top Secret Regions—help customers accelerate their desired outcomes and the deployment of modern applications while reducing risk compared to legacy on-premises deployments. The AWS Government Regions are purpose-built, compliance-eligible, secure, and scalable cloud infrastructures designed to address mission needs and critical workload requirements for civilian, healthcare, and financial agencies, the US Intelligence Community, the Department of Defense, the defense industrial base, and technology partners and supporting organizations.",12/3/24,12:30,12:50,Venetian | Hall B | Expo | Theater 2,
Chalk talk,"Balancing resilience, security, and cost in cloud architecture","As organizations develop cloud infrastructure, they must balance resilience, security, and cost optimization in their architectures. This talk explores the complex relationships between these priorities, providing a framework for informed decision-making. Participants learn resilience strategies like multi-Region deployments; security measures for identity, access, and data protection; and cost optimization techniques using cost-effective services and resource utilization. Using real-world case studies, assess your organization's needs and make strategic architectural decisions that align with business objectives. By navigating the tradeoffs between resilience, security, and cost, learn to design reliable, secure, and cost-effective cloud systems.",12/2/24,13:00,14:00,Caesars Forum | Level 1 | Forum 132,5
Chalk talk,Best practices for migrating to Amazon OpenSearch Service [REPEAT],"Migrating to Amazon OpenSearch Service involves five main steps: plan, POC, deploy, data migration, and cutover. In this chalk talk, learn how to build a successful migration strategy to OpenSearch Service. Hear technical guidance on the key milestones in each migration step, starting with your premigration inventory up to your cutover stage. This talk also teaches you how to use Amazon OpenSearch Ingestion to accelerate your migration journey to OpenSearch Service.",12/2/24,16:00,17:00,Caesars Forum | Level 1 | Forum 132,1
Workshop,Accelerate development with AWS Lambda Powertools for serverless APIs,"In this workshop, start with an existing application built with Python and progressively improve your API event handler using Powertools for AWS Lambda. Learn how to implement request and response validation, dynamic routing, exception handling, middleware, and OpenAPI schema generation. Discover how to improve your API event handler with serverless best practices using Python that you can easily extend to other Powertools runtimes. You must bring your laptop to participate.",12/3/24,11:30,13:30,Mandalay Bay | Level 2 South | Oceanside A,
Builders' session,Accelerate FM pre-training on Amazon SageMaker HyperPod [REPEAT],"Amazon SageMaker HyperPod removes the undifferentiated heavy lifting involved in building and optimizing machine learning (ML) infrastructure for training foundation models (FMs), reducing training time by up to 40%. In this builders’ session, learn how to pre-train a large language model (LLM) using Slurm on SageMaker HyperPod. Explore the model pre-training workflow from start to finish, including setting up clusters, troubleshooting convergence issues, and running distributed training to improve model performance. You must bring your laptop to participate.",12/2/24,14:30,15:30,Mandalay Bay | Level 2 South | Surf B,
Builders' session,Accelerate FM pre-training on Amazon SageMaker HyperPod [REPEAT],"Amazon SageMaker HyperPod removes the undifferentiated heavy lifting involved in building and optimizing machine learning (ML) infrastructure for training foundation models (FMs), reducing training time by up to 40%. In this builders’ session, learn how to pre-train a large language model (LLM) using Slurm on SageMaker HyperPod. Explore the model pre-training workflow from start to finish, including setting up clusters, troubleshooting convergence issues, and running distributed training to improve model performance. You must bring your laptop to participate.",12/6/24,9:00,10:00,Caesars Forum | Level 1 | Summit 232 | Content Hub | Builder's 2,
Builders' session,Accelerate FM pre-training on Amazon SageMaker HyperPod [REPEAT],"Amazon SageMaker HyperPod removes the undifferentiated heavy lifting involved in building and optimizing machine learning (ML) infrastructure for training foundation models (FMs), reducing training time by up to 40%. In this builders’ session, learn how to pre-train a large language model (LLM) using Slurm on SageMaker HyperPod. Explore the model pre-training workflow from start to finish, including setting up clusters, troubleshooting convergence issues, and running distributed training to improve model performance. You must bring your laptop to participate.",12/4/24,14:30,15:30,Caesars Forum | Level 1 | Alliance 315,
Chalk talk,It all starts with DNS: Getting the best results from Amazon Route 53,"In this chalk talk, explore the key features of Amazon Route 53, the latest innovations, and the real-world use cases. Whether you’re focused on managing DNS records at scale, integrating with on-premises infrastructure, optimizing traffic flow through advanced routing policies, or enhancing the security of your DNS traffic, this talk provides you with the insights needed to get the most from Amazon Route 53.",12/2/24,13:00,14:00,Caesars Forum | Level 1 | Summit 220,3
Builders' session,Accelerate from monolith to modern developer platform with gen AI [REPEAT],"Traditional monolith applications are challenging to modernize, restricting the ability to innovate. Adding new functionality using cloud-native architecture and microservices helps organizations maximize resiliency, efficiency, and agility. This builders’ session showcases an end-to-end modernization journey. Learn how to onboard your development team quickly to AWS by abstracting the complexity of cloud-native architecture using generative AI and actionable blueprints available in a secure internal developer platform (IDP) using Backstage and Harmonix on AWS. Please be sure to have your free AWS Builder ID established before attending. You must bring your laptop to participate.",12/2/24,13:30,14:30,Caesars Forum | Level 1 | Alliance 311,
Builders' session,Accelerate from monolith to modern developer platform with gen AI [REPEAT],"Traditional monolith applications are challenging to modernize, restricting the ability to innovate. Adding new functionality using cloud-native architecture and microservices helps organizations maximize resiliency, efficiency, and agility. This builders’ session showcases an end-to-end modernization journey. Learn how to onboard your development team quickly to AWS by abstracting the complexity of cloud-native architecture using generative AI and actionable blueprints available in a secure internal developer platform (IDP) using Backstage and Harmonix on AWS. Please be sure to have your free AWS Builder ID established before attending. You must bring your laptop to participate.",12/6/24,8:30,9:30,Caesars Forum | Level 1 | Alliance 315,
Chalk talk,"Always on, always available with AWS resilience lifecycle framework","Customers expect an always-on, always-available experience. In this chalk talk, explore strategies to minimize downtime and enable customer-facing applications to withstand unexpected failures or to quickly recover from them. Discover practical guidance on using the resilience lifecycle framework to build resilient applications on AWS. Learn actionable techniques to architect robust, fault-tolerant applications that deliver exceptional reliability for your customers. This chalk talk is intended for AWS Partners.",12/2/24,9:00,10:00,Caesars Forum | Level 1 | Summit 221,2
Chalk talk,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD [REPEAT]","Discover various architectures to build and deploy workloads on Amazon EKS with Amazon ECR. When deploying workloads into a cluster, there are different secure software supply chain automation choices, including CI/CD pipelines, IaC tools like Terraform and CDK, and GitOps patterns with Argo CD. Hear how these options differ and fit together from the developer, architect, and operations perspectives, and learn how to choose options depending on team structure and skills. Explore how to adopt, mix, and match DevOps and GitOps based on different design factors, and learn about the design factors for developer, architect, and operations perspectives.",12/2/24,16:30,17:30,Caesars Forum | Level 1 | Summit 221,1
Chalk talk,Build serverless streaming data pipelines for real-time analytics,"Streaming data is unbounded, generated at scale, and needs to be processed within seconds for real-time analytics. This presents unique design challenges for scale and cost efficiency. In this chalk talk, learn how to deliver real-time streams, including database CDC streams into Amazon S3, Apache Iceberg, or Amazon Redshift using AWS serverless services like Amazon Data Firehose, Amazon Kinesis Data Streams, and Amazon MSK Serverless. Through well-architected solutions and demos, gain insights into processing data at scale and optimizing operating costs.",12/2/24,13:00,14:00,Mandalay Bay | Level 2 South | Lagoon G,2
Chalk talk,Accelerate innovation with AWS AI/ML services,"AWS AI/ML services like Amazon Bedrock, Amazon Kendra, Amazon Textract, and Amazon SageMaker Canvas offer game-changing opportunities for new users. These tools enable businesses to extract insights from data, automate processes, and enhance decision-making. With a wide range of services and connectors, users can easily access data from various sources, including Amazon S3, databases, and on-premises storage. By leveraging these AI/ML services, new AWS users can drive innovation, streamline operations, and gain a competitive edge. From automating document processing to enhancing search capabilities and building custom ML models, these services provide comprehensive, scalable solutions for businesses embracing AI/ML technologies.",12/2/24,10:30,11:30,Mandalay Bay | Level 3 South | South Seas D,1
Chalk talk,Embed seamless customer support with Amazon Connect [REPEAT],"Delivering exceptional customer service and support is challenging, as they demand attention across numerous touch points, like physical products, product documentation, and mobile customer support apps. This chalk talk explores specific strategies for elevating your customer experience with Amazon Connect. Learn how to create a cohesive, frictionless support experience using techniques like embedded channels, proactive outreach, and out-of-the-box information sharing that will delight your customers. ",12/2/24,14:30,15:30,Mandalay Bay | Lower Level North | South Pacific B,4
Lightning talk,Accelerate growth: Strategies for new customer engagement and expansion,"In this lightning talk, we will share the recipe for driving exponential customer growth by leveraging the synergies between AWS and partners, covering a range of AWS-partner tactics proven effective for attracting, engaging, and converting new customers at scale. Key strategies include go-to-market (GTM) activities focused on new customer acquisition, developing the right point-of-entry solutions, and co-selling aligned to the AWS GTM strategy. By harnessing the combined power of AWS and partner capabilities, organizations can stay ahead of the curve and cement their position as industry leaders. This talk is intended for AWS Partners.",12/4/24,13:30,13:50,Venetian | Hall B | Expo | Theater 1,
Chalk talk,Best practices for observability [REPEAT],"Achieving comprehensive observability by ensuring optimal performance, reliability, and user experience is crucial for businesses. In this interactive chalk talk, explore best practices for collecting and analyzing metrics, traces, and logs across your AWS environments. Discover techniques for streamlining agent management, optimizing alerting, and enabling cross-account observability. Learn how to reduce operational overhead while gaining deeper visibility into your applications' performance and health—all in a cost-optimized manner.",12/2/24,16:30,17:30,Mandalay Bay | Lower Level North | South Pacific D,5
Chalk talk,Operational excellence: Best practices for resilient systems [REPEAT],"In this chalk talk, learn how operational practices such as logging, health checks, and safe deployment affect the resilience of well-architected applications. Explore use cases demonstrating potential implications of poor operational practices on system availability and analyze these use cases in line with well-architected principles. Learn about improvement strategies and best practices to enhance the resilience of your AWS architecture. Session goals include understanding how different operational practices can affect the resilience of well-architected applications, exploring and analyzing different use cases impacting resiliency with AWS experts; and learning about operational best practices in line with well-architected principles to improve resilience of your AWS architecture.",12/2/24,9:00,10:00,MGM | Level 1 | 105,4
Workshop,Accelerate innovation capabilities with generative AI and mechanisms,"In today’s rapidly evolving tech landscape, navigating complex innovation and transformation initiatives can be daunting. This hands-on workshop equips you with the tools and strategies to unlock your organization’s full potential for innovation and transformation. Use the AWS Innovation Pulse Check tool, powered by generative AI, to assess capabilities and receive tailored recommendations. Explore mental models that empower informed decision-making and foster an innovation culture. Dive into interactive modules to review processes, design effective change mechanisms, and prioritize actions for exceptional customer value delivery. Walk away with a roadmap to accelerate innovation maturity and stay ahead in the tech landscape. You must bring your laptop to participate.",12/4/24,8:30,10:30,MGM | Level 3 | Premier 312,
Chalk talk,How event-driven architectures can go wrong and how to fix them [REPEAT],"Event-driven architectures enable speed and agility for distributed cloud applications; however, this also means there’s the risk of shipping bad ideas fast without governance. Fortunately, the same agility allows for quick fixes. Attend this chalk talk to learn common event-driven pitfalls, including YOLO events, god events, observability soup, event loops, exposing monoliths, state corruption, and surprise bills. Explore strategies and techniques teams can implement to avoid these pitfalls and reap the full benefits of event-driven architectures.",12/2/24,15:00,16:00,MGM | Level 1 | Boulevard 156,2
Lightning talk,Accelerate insurance transformation using gen AI and data analytics (sponsored by DXC Technology),"The insurance industry has traditionally evolved deliberately and cautiously. However, insurers now face evolving regulatory requirements, changing customer expectations, and increased claim severity and frequency that require broader and faster digital-led transformation. In this lightning talk, learn how insurers are turning to the cloud to more quickly create new and better products for changing customer demand, offer personalized engagements across high-impact agent and low-cost digital interactions, and automate internal processes for improved efficiencies. This presentation is brought to you by DXC Technology, an AWS Partner.",12/4/24,14:00,14:20,Venetian | Hall B | Expo | Theater 4,
Workshop,Accelerate mainframe modernization at scale with generative AI,"Explore how generative AI capabilities with AWS Mainframe Modernization Automated Refactor with AWS Blu Age accelerate mainframe modernization while seamlessly integrating with your current tools, processes, and team's expertise. In this workshop, learn how to use generative AI to discover code summaries, explanations, and user screen design previews; analyze assisted classification; and transform both supported and unsupported legacy source code to build and deploy new Java applications to the AWS Mainframe Modernization service. You must bring your laptop to participate.",12/5/24,15:00,17:00,MGM | Level 1 | Grand 113,
Workshop,Accelerate product development with collaborative digital environments [REPEAT],"Engineering complex industrial systems relies heavily on collaboration and use of domain-specific models such as computer-aided design (CAD), finite element model (FEM), and custom software models. Digital engineering fundamentally relies on integrating data across model structures, which leads to collaboration across geographically dispersed organizations. In this workshop, learn how to deploy a collaborative digital engineering environment on AWS using open source OpenMBEE to develop automated workflows for product development using a model-based systems engineering (MBSE) approach. You must bring your laptop to participate.",12/2/24,12:30,14:30,MGM | Level 3 | Premier 311,
Workshop,Accelerate product development with collaborative digital environments [REPEAT],"Engineering complex industrial systems relies heavily on collaboration and use of domain-specific models such as computer-aided design (CAD), finite element model (FEM), and custom software models. Digital engineering fundamentally relies on integrating data across model structures, which leads to collaboration across geographically dispersed organizations. In this workshop, learn how to deploy a collaborative digital engineering environment on AWS using open source OpenMBEE to develop automated workflows for product development using a model-based systems engineering (MBSE) approach. You must bring your laptop to participate.",12/4/24,12:30,14:30,Wynn | Upper Convention Promenade | Cristal 5,
Workshop,Accelerate RAG application development with Cloudera & Amazon Bedrock (sponsored by Cloudera),"In this workshop, learn how to build a Retrieval Augmented Generation (RAG) application using Cloudera for managing data and infrastructure and Amazon Bedrock for hosting the large language model (LLM). Use Cloudera’s Accelerators for ML Projects (AMPs) to speed up the journey from idea to production and discover the seamless integration between Cloudera and AWS that combines Cloudera’s comprehensive AI and ML capabilities with powerful model hosting of Amazon Bedrock. This hands-on workshop is perfect for developers and data scientists who want to build scalable, efficient RAG applications and experience the best of the combined platforms. You must bring a laptop to participate. This presentation is brought to you by Cloudera, an AWS Partner.",12/3/24,16:30,18:30,Wynn | Convention Promenade | Mouton 2,
Workshop,Accelerate software development with Amazon Bedrock and Amazon Q,"Join this workshop to learn how to increase developer efficiency and streamline software-defined vehicle development using generative AI features within the Virtual Engineering Workbench. First, walk through how app developers use the Virtual Engineering Workbench to code, validate, and innovate on an Android Automotive app, using virtual electronic control units (ECUs). Next, explore how to adjust a virtual ECU within a few minutes and publish it as part of the Virtual Engineering Workbench for potentially thousands of users. Generative AI will help us reduce the publishing time to a minimum. You must bring your laptop to participate.",12/4/24,16:00,18:00,Wynn | Convention Promenade | Margaux 2,
Chalk talk,Accelerate generative AI from POC to production via AWS Marketplace [REPEAT],"As organizations seek to use generative AI for improving process efficiencies and enhancing customer experiences, many find themselves at a critical juncture: moving from proof of concept (POC) to production. In this chalk talk, explore how AWS Marketplace offers comprehensive solutions from AWS Partners that address the generative AI lifecycle. Learn about common challenges organizations face when moving generative AI projects into production and guidance that can help you overcome hurdles and reduce time-to-market. Discover how to leverage AWS Marketplace offerings to accelerate your generative AI initiatives, address production-ready concerns, and unlock the full potential of this transformative technology in your organization.",12/2/24,16:00,17:00,MGM | Level 1 | Boulevard 167,1
Lightning talk,Accelerate your AI journey with Splunk and AWS (sponsored by Splunk),"Organizations worldwide have embraced AI to unlock unprecedented value, drive innovation, and deliver transformative customer experiences. As AI innovation accelerates, companies must continuously adapt and incorporate new technologies into their AI strategies while ensuring AI resiliency. Join this lightning talk to discover how Splunk and AWS have collaborated to help organizations stay ahead of the AI advancements, accelerating the development and enhancing the monitoring and security of AI applications. This presentation is brought to you by Splunk, an AWS Partner.",12/3/24,11:00,11:20,Venetian | Hall B | Expo | Theater 4,
Lightning talk,Accelerate your AWS journey with AWS Marketplace Professional Services ,"AWS offers over 200 services to meet our builders needs and thousands of AWS Partners with expertise ready to help you leverage these services. Whether you need ongoing account management, ISV support and implementation services, assistance with an AWS migration and cost optimization initiatives, assistance setting up a contact center and CRM system, or a new website or database, AWS Marketplace can help you find and streamline procurement of these business solutions. This lightning talk will help you understand the types of solutions available in AWS Marketplace, and show you how to get started.",12/4/24,17:00,17:20,Venetian | Hall B | Expo | Theater 5,
Lightning talk,Accelerate your cloud strategy using Nutanix Cloud Clusters on AWS (sponsored by Nutanix),"In this lightning talk, explore the high-level architecture of Nutanix Cloud Clusters (NC2) on AWS, and learn key benefits such as accelerating migration of traditional workloads to AWS, as well as improved storage, networking, and disaster recovery capabilities. Learn about the powerful move tool for seamless VM migration, including IP and MAC address retention. See how to easily migrate VMs from VMware/VMC-A to NC2 on AWS. In addition, learn about monitoring, observability, sustainability, and more. Join Nutanix for an insightful and practical guide to using NC2 on AWS for your organization. This presentation is brought to you by Nutanix, an AWS Partner.",12/4/24,14:00,14:20,Venetian | Hall B | Expo | Theater 1,
Chalk talk,Application resilience drift: Strategies for detection and response [REPEAT],Join this chalk talk to learn practical strategies for identifying and addressing application resilience drift. Gain insights into detecting subtle shifts in resilience and implementing effective responses to ensure the stability and performance of your applications.,12/2/24,10:30,11:30,MGM | Level 3 | 302,5
Chalk talk,AWS Lambda performance tuning: Best practices and guidance [REPEAT],"In this chalk talk, you learn about opportunities to optimize your serverless applications built with AWS Lambda, including optimizations in the function configuration and within your function code. This talk also covers how you can best measure and tune your function’s performance by configuring memory to get the right application performance. You also hear best practices for initialization logic and reuse to enable fast startup and fast function processing times.",12/2/24,9:00,10:00,MGM | Level 3 | 302,6
Chalk talk,Best practices for cloud governance [REPEAT],"As businesses adopt the cloud, cloud governance has emerged as a critical, yet complex, priority. Whether you’re new to the cloud or have an established presence, navigating the trade-offs between agility and control can be daunting. In this chalk talk, AWS experts share strategies to build an effective and scalable cloud governance foundation, including strategies for permission management, secure workload deployments, and environment governance. Join AWS and your peers to share and learn insights from organizations that have successfully adopted the cloud.",12/2/24,12:00,13:00,MGM | Level 3 | 302,1
Code talk,Build efficient serverless APIs with Powertools for AWS Lambda,"Explore the pragmatic considerations for building serverless applications in this code talk. Learn how many AWS Lambda functions should comprise a single API, and discover techniques for progressively improving your API event handlers. Understand the challenges, solutions, and trade-offs involved in creating modular, well-architected Lambda “monoliths” (Lambdaliths). Gain insights into using Powertools for Lambda to construct efficient monolithic and microservice Lambda function architectures. Leave with a clear approach for structuring your serverless APIs using the Lambdalith and other patterns.",12/4/24,13:00,14:00,Wynn | Convention Promenade | Margaux 1,2
Lightning talk,Accelerate your generative AI journey with AWS [Japanese],This lightning talk is delivered in Japanese. This talk shares the highlights of AWS re:Invent 2024 and discusses what you need to know to use the latest generative AI services on AWS.,12/4/24,14:00,14:20,Venetian | Hall B | Expo | Theater 5,
Lightning talk,Accelerate your generative AI journey with AWS [Japanese],This lightning talk is delivered in Japanese. This talk shares the highlights of AWS re:Invent 2024 and discusses what you need to know to use the latest generative AI services on AWS.,12/3/24,12:30,12:50,Venetian | Hall B | Expo | Theater 5,
Builders' session,Accelerated hands-on recipes for building strong cloud foundations [REPEAT],"Building robust cloud foundations is essential for long-term growth and security, yet challenging for lean technical teams. Join this accelerated, hands-on builders’ session to gain practical experience and proven strategies, refined through successful deployments in over 200 small and medium businesses. Walk away with the critical knowledge and confidence to secure and scale your organization’s cloud infrastructure for sustained success. You must bring your laptop to participate.",12/3/24,17:30,18:30,Caesars Forum | Level 1 | Alliance 315,
Builders' session,Accelerated hands-on recipes for building strong cloud foundations [REPEAT],"Building robust cloud foundations is essential for long-term growth and security, yet challenging for lean technical teams. Join this accelerated, hands-on builders’ session to gain practical experience and proven strategies, refined through successful deployments in over 200 small and medium businesses. Walk away with the critical knowledge and confidence to secure and scale your organization’s cloud infrastructure for sustained success. You must bring your laptop to participate.",12/4/24,16:30,17:30,MGM | Level 3 | 353,
Builders' session,Accelerated hands-on recipes for building strong cloud foundations [REPEAT],"Building robust cloud foundations is essential for long-term growth and security, yet challenging for lean technical teams. Join this accelerated, hands-on builders’ session to gain practical experience and proven strategies, refined through successful deployments in over 200 small and medium businesses. Walk away with the critical knowledge and confidence to secure and scale your organization’s cloud infrastructure for sustained success. You must bring your laptop to participate.",12/5/24,14:00,15:00,Wynn | Convention Promenade | Latour 7,
Workshop,Accelerating distributed ML with containers & high-performance storage,"In this workshop, learn how AWS storage can help increase the performance of machine learning (ML) training jobs and reduce the complexity for containerized environments using Amazon EKS. Explore storage solutions for your unique requirements, from Mountpoint for Amazon S3 and the Amazon S3 Express One Zone storage class to the seamless integration of Amazon FSx for Lustre with Amazon S3, using low-latency and high-performance capabilities for ML workloads. Join this hands-on workshop to enhance your skills in storage for distributed ML training. You must bring your laptop to participate.",12/5/24,12:00,14:00,Mandalay Bay | Level 2 South | Oceanside A,
Workshop,Accelerating enterprise development with Amazon Q Developer [REPEAT],"In this workshop, explore the transformative impact of generative AI in development. Get hands-on experience with Amazon Q Developer to learn how it can help you understand, build, and operate AWS applications. Explore the IDE to see how Amazon Q provides software development assistance, including code explanation, generation, modernization, and much more. You must bring your laptop to participate.",12/5/24,15:30,17:30,MGM | Level 1 | Grand 115,
Workshop,Accelerating enterprise development with Amazon Q Developer [REPEAT],"In this workshop, explore the transformative impact of generative AI in development. Get hands-on experience with Amazon Q Developer to learn how it can help you understand, build, and operate AWS applications. Explore the IDE to see how Amazon Q provides software development assistance, including code explanation, generation, modernization, and much more. You must bring your laptop to participate.",12/2/24,12:00,14:00,Wynn | Convention Promenade | Mouton 2,
Chalk talk,Build resilient architectures with Amazon EBS,"Among the components of a resilient system, storage is fundamental for any enterprise application. In this chalk talk, learn best practices for configuring Amazon EBS for resilience and high availability, including how to use observability metrics to gain granular visibility into the performance of your EBS volumes to proactively monitor volume health and improve application resiliency. Walk through how to use the Pause I/O action in AWS Fault Injection Service to simulate an unresponsive state of an Amazon EBS volume. Discover how Amazon EBS can help you meet even the most demanding service levels for mission-critical applications.",12/2/24,13:30,14:30,MGM | Level 3 | 302,2
Chalk talk,Boost customer retention and loyalty with Amazon Connect,"This chalk talk explores strategies to simplify customer interactions across channels to enhance customer loyalty, leveraging Amazon Connect. Discover how to predict customer intent and design effective customer engagement strategies for preferred channels and solve customer issues before they arise. Learn to capture customer feedback, sentiment, and AI-driven insights to continuously improve experiences. Understand best practices for enabling self-service and seamless omnichannel engagements and walk away with actionable techniques to measure and optimize customer effort, fostering loyalty and business growth. ",12/2/24,13:00,14:00,MGM | Level 3 | 305,2
Chalk talk,Ask me anything about networking [REPEAT],"This chalk talk covers the breadth of AWS networking services. Are you facing challenges figuring out how you can optimize Elastic Load Balancing (ELB), where Amazon VPC Lattice fits in to your architecture, how you can migrate to AWS PrivateLink, how you should implement AWS Verified Access, whether you should migrate from AWS Transit Gateway to AWS Cloud WAN, or any other networking topic? Bring your questions to explore in detail through interactive conversations and whiteboarding.",12/2/24,13:00,14:00,MGM | Level 3 | 307,5
